partida_arancelaria,producto,ad_valorem,ice
8471.3,Laptops/Computadoras,0%,0%
8517.12,Teléfonos celulares,0%,0%
8528.72,Televisores,20%,0%
6403.99,Calzado con suela caucho,30%,0%
6204.62,Pantalones algodón mujer,30%,0%
8703.23,Vehículos 1500-3000cc,40%,15%
2203,Cerveza de malta,25%,12%
2208.3,Whisky,25%,75%
8418.1,Refrigeradores,30%,0%
8450.11,Lavadoras automáticas,30%,0%
9403.3,Muebles madera oficina,30%,0%
3304.99,Cosméticos/maquillaje,20%,0%
402.21,Leche en polvo,25%,0%
