ruta_detalle,ciudad_destino,tarifa_fcl_usd,origen
GYE - Perímetro Urbano,Guayaquil,$275.00,Puerto GYE
GYE - Manta - GYE,Manta,$585.00,Puerto GYE
GYE - Machala - GYE,Machala,$595.00,Puerto GYE
GYE - Cuenca - GYE,Cuenca,$795.00,Puerto GYE
GYE - Ambato - GYE,Ambato,$895.00,Puerto GYE
GYE - Quito (UIO) - GYE,Quito,"$1,150.00",Puerto GYE
