ciudad_destino,custodia_armada_usd,candado_satelital_usd,aplica_iva,notas_seguridad
Guayaquil (Urbano),$150.00,$50.00,SI,Tarifas por contenedor
Manta,$350.00,$65.00,SI,Tarifas por contenedor
Machala,$350.00,$65.00,SI,Tarifas por contenedor
Cuenca,$345.00,$70.00,SI,Tarifas por contenedor
Ambato,$405.00,$75.00,SI,Tarifas por contenedor
Quito (UIO),$475.00,$85.00,SI,Tarifas por contenedor
