ciudad,cntr_20ft,cntr_40ft,cntr_40hc,cntr_40nor
Guayaquil,$150,$180,$200,$250
Quito,$220,$280,$300,$350
Cuenca,$250,$320,$350,$400
Ambato,$230,$290,$310,$360
Manta,$180,$220,$240,$300
Loja,$300,$380,$420,$480
