,,,,,,,,,,,ORDEN,SERVICIO,,,
,,,,,,,,,,,5,,4,3,2
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,20 GP,,40 GP,40 HC,40 NOR
AMBERES,CMA-CGM,GUAYAQUIL,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,QFARS0000007 - incluye THC origen,26-28,EUROS,"€ 1,455.00",,"€ 2,366.00","€ 2,366.00",
AMBERES,CMA-CGM,POSORJA,AGENTE PROPIO,14,01/11/2025,31/03/2026,Derda Logistik GmbH                                                                                 ,DERDA,27-27,EUROS,€ 776.00,,"€ 1,317.00","€ 1,317.00",
AMBERES,CMA-CGM,POSORJA,AGENTE PROPIO,14,01/01/2026,15/01/2026,NORA GLOBAL LOJISTIK ANONIM SIRKETI                                                                 ,NORA,30-40,EUROS,€ 875.00,,"€ 1,250.00","€ 1,250.00",
AMBERES,CMA-CGM,POSORJA,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,QFARS0000007 - incluye THC de origen,22-24,EUROS,"€ 1,135.00",,"€ 1,907.00","€ 1,907.00",
AMBERES,COSCO SHIPPING LINES CO. LTD.,POSORJA,AGENTE PROPIO,17,01/01/2026,15/01/2026,NORA GLOBAL LOJISTIK ANONIM SIRKETI                                                                 ,NORA,30-40,EUROS,"€ 1,450.00",,"€ 2,300.00","€ 2,300.00",
AMBERES,COSCO SHIPPING LINES CO. LTD.,POSORJA,DIRECTA,15,01/01/2026,31/03/2026,                                                                                                    ,00074058,22-32,EUROS,"€ 1,530.00",,"€ 1,970.00","€ 1,970.00",
AMBERES,Hapag Lloyd,POSORJA,DIRECTA,7,01/01/2026,16/01/2026,                                                                                                    ,W251200511309 - INCLUYE THC ORIGEN,25-25,EUROS,"€ 1,203.00",,"€ 1,756.00","€ 1,756.00",
AMBERES,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,AGENTE PROPIO,8,01/01/2026,15/01/2026,NORA GLOBAL LOJISTIK ANONIM SIRKETI                                                                 ,NORA,30-40,EUROS,€ 850.00,,"€ 1,900.00","€ 1,900.00",
AMBERES,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,DIRECTA,14,01/01/2026,31/03/2026,                                                                                                    ,GYE00058,30-37,EUROS,"€ 1,054.00",,"€ 2,109.00","€ 2,109.00",
AMBERES,ORIENT OVERSEAS CONTAINER LINE,POSORJA,AGENTE PROPIO,14,01/01/2026,15/01/2026,NORA GLOBAL LOJISTIK ANONIM SIRKETI                                                                 ,NORA,30-40,EUROS,€ 850.00,,"€ 1,075.00","€ 1,075.00",
